Date,Hour,Raw Water (m3/h),Intake Pumo Comb,Raw Water_Tur,PH.,Con,prelime_ppm,prelime_l/m,Alum_ppm,Alum_Tank_strength,Aetator_Flow rate (l/m),D Chamber_Flow rate (l/m),Post lime_SPH 1_ppm,Post lime_SPH1_l/m,Post lime_SPH2_ppm,Post lime_SPH2_l/m,Chlorine_Pre_ppm,Chlorine_Pre_l/m,Chlorine_Post_ppm,Chlorine_Post_l/m,Settled Water_Pul: Tube_Tur.,Settled Water_Pul: Tube_PH.,Settled Water_Pulsator_Tur.,Settled Water_Pulsator_PH.,Settled Water_CF1_Tur.,Settled Water_CF1_PH.,Settled Water_CF2_Tur.,Settled Water_CF2_PH.,Settled Water_PT1_Tur.,Settled Water_PT1_PH.,Settled Water_PT2_Tur.,Settled Water_PT2_PH.,Filtered Water_Tur,Filtered Water_PH,Final Water_SPH1_Tur,Final Water_SPH1_PH,Final Water_SPH1_Co,Final Water_SPH1_RCL,Final Water_SPH2_Tur,Final Water_SPH2_PH,Final Water_SPH2_Co,Final Water_SPH2_RCL
,00,12500,60+12,9.3,6.8,68,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.7,6.5,2.2,6.5,1.9,6.5,-,-,2.1,6.5,1.7,6.5,0.5,6.5,1.1,6.8,72,0.5,0.6,6.7,67,0.5
,01,12500,60+12,9.3,6.8,68,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,,,,,,,,,,,
,02,12500,60+12,9.2,6.8,68,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.6,6.5,2.3,6.5,1.8,6.5,-,-,1.8,6.5,1.6,6.5,,,,,,,,,,
,03,12500,60+12,9.5,6.8,67,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,0.7,6.5,0.9,6.7,74,0.5,0.8,6.7,69,0.5
,04,12500,60+12,9.4,6.8,66,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.6,6.5,2.1,6.5,1.6,6.5,-,-,1.9,6.5,1.8,6.5,,,,,,,,,,
,05,12500,60+12,9.6,6.8,66,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,,,,,,,,,,,
,06,12500,60+12,9.8,6.8,66,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.4,6.5,2.0,6.5,1.6,6.5,-,-,1.7,6.5,1.5,6.5,0.6,6.5,1.0,6.7,70,0.5,0.7,6.7,67,0.5
,07,12500,60+12,9.6,6.8,66,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,,,,,,,,,,,
,08,12500,60+12,9.9,6.8,65,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.4,6.5,2.1,6.5,1.8,6.5,-,-,2.0,6.5,1.8,6.5,,,,,,,,,,
,09,14500,60+24,10.0,6.8,64,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,,,,,,,,,,,,0.7,6.5,1.1,6.7,69,0.5,0.7,6.7,68,0.5
,10,14500,60+24,10.0,6.8,63,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.8,6.5,2.4,6.5,2.1,6.5,-,-,2.5,6.5,2.1,6.5,,,,,,,,,,
,11,14500,60+24,9.8,6.8,63,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,,,,,,,,,,,,,,,,,,,,,,
,12,14500,60+24,9.7,6.8,63,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.8,6.5,2.6,6.5,2.4,6.5,-,-,2.9,6.5,2.3,6.5,0.8,6.5,1.2,6.8,71,0.5,0.8,6.7,72,0.5
,13,14500,60+24,17.2,6.8,63,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.7,6.5,2.2,6.5,2.6,6.5,-,-,2.4,6.5,2.3,6.5,,,,,,,,,,
,14,14500,60+24,15.9,6.8,62,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.6,6.5,2.1,6.5,2.2,6.5,-,-,2.2,6.5,2.1,6.5,,,,,,,,,,
,15,14500,60+24,15.1,6.8,62,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,,,,,,,,,,,,0.8,6.5,1.2,6.8,69,0.5,0.8,6.7,73,0.5
,16,14500,60+24,14.4,6.8,61,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.7,6.5,2.0,6.5,2.1,6.5,-,-,2.1,6.5,2.0,6.5,,,,,,,,,,
,17,14500,60+24,14.3,6.8,61,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,,,,,,,,,,,,,,,,,,,,,,
,18,14500,60+24,14.0,6.8,61,0,0,9,7.5,10,22,5,12,5,10,1.0,15,1.2,18,1.6,6.5,1.9,6.5,2.3,6.5,-,-,2.0,6.5,2.1,6.5,0.9,6.5,1.1,6.8,68,0.5,0.7,6.7,69,0.5
,19,12500,60+12,13.2,6.8,61,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,,,,,,,,,,,
,20,12500,60+12,13.7,6.8,61,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.4,6.5,1.7,6.5,1.8,6.5,-,-,1.4,6.5,1.7,6.5,,,,,,,,,,
,21,12500,60+12,13.1,6.8,61,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,0.5,6.5,0.8,6.8,69,0.5,0.5,6.7,69,0.5
,22,12500,60+12,12.8,6.8,61,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,1.3,6.5,1.5,6.5,1.5,6.5,-,-,1.3,6.5,1.2,6.5,,,,,,,,,,
,23,12500,60+12,12.9,6.8,60,0,0,9,7.5,10,19,5,10,5,8,1.0,13,1.2,15,,,,,,,,,,,,,,,,,,,,,,
